model,protocol,MAE,RMSE,R2,source_cell
LSTM Adam Huber,validation-selected historical run,226.8134002685547,347.03415267809015,0.969403088092804,49
Last observation,historical test,486.0120715970584,740.2607180998864,0.8607796465762283,33
Lag 24 observations,historical test,1559.864437352574,2203.80308289263,-0.2338969652591112,36
GRU Adam L2,historical comparison final model,229.2457733154297,347.4048768188207,0.9693377017974854,30
GRU conditional recursive,historical model variable,423.9705810546875,663.7209739416105,0.8880808353424072,53
